,date,econ,mdns,oppo,overs,runs,venue,wickets
219,24 Mar 2011,5.00,0,v Australia,10.0,50,Ahmedabad,0
220,30 Mar 2011,4.30,0,v Pakistan,10.0,43,Mohali,2
221,2 Apr 2011,5.00,0,v Sri Lanka,10.0,50,Mumbai,1
222,6 Jun 2011,3.20,0,v West Indies,10.0,32,Port of Spain,3
223,8 Jun 2011,5.10,1,v West Indies,10.0,51,Port of Spain,0
224,11 Jun 2011,2.40,2,v West Indies,10.0,24,North Sound,1
225,10 Jul 2015,4.60,0,v Zimbabwe,10.0,46,Harare,1
226,12 Jul 2015,2.90,0,v Zimbabwe,10.0,29,Harare,1
227,14 Jul 2015,3.50,0,v Zimbabwe,10.0,35,Harare,2
228,14 Oct 2015,5.10,0,v South Africa,10.0,51,Indore,2
229,18 Oct 2015,4.10,0,v South Africa,10.0,41,Rajkot,1
230,22 Oct 2015,5.00,0,v South Africa,10.0,50,Chennai,2
231,25 Oct 2015,7.00,0,v South Africa,10.0,70,Mumbai,1
